smiles,bandgap,formulas
c1ccc(-n2ccc3ccc(-c4nc5nc6oc(-c7ccc8ccn(-c9ccccc9)c8c7)nc6nc5o4)cc32)cc1,2.9438,C34H20N6O2
CC1(C)c2ccccc2N(c2ccccc2)c2ccc(-n3c4ccc(-c5cccc(-c6ccc(-c7cncc8ncccc78)cc6)c5)cc4c4cc(-c5cccc(-c6ccc(-c7cncc8ncccc78)cc6)c5)ccc43)cc21,2.9968,C73H50N6
CC(C)(C)c1ccc(/N=C/c2ccc(C(F)(F)F)cc2)cc1,3.4965,C18H18F3N
Cc1cc(-c2ccc(N(c3ccc(-c4cc(C)c(-c5cccc(-c6cnc(-c7ccccc7)nc6)c5)c(C)c4)cc3)c3ccc(N4c5ccccc5Oc5ccccc54)cc3)cc2)cc(C)c1-c1cccc(-c2cnc(-c3ccccc3)nc2)c1,2.8231,C78H58N6O
c1ccc(-n2c3ccccc3c3ccc(-c4ccc5c(c4)c4ccccc4n5C4CCCC(c5cc(-n6nnc7ccccc76)cc(-n6nnc7ccccc76)c5)C4)cc32)cc1,3.2606,C54H40N8
c1ccc(-c2cncc(-c3ccc(-n4c5ccccc5c5c4ccc4c6ccccc6n(-c6ccc(-c7cncc(-c8ccccc8)c7)cc6)c45)cc3)c2)cc1,3.3645,C52H34N4
Cc1cccc2c3ccccc3n(-c3cn(-c4c(F)c(F)c(-n5cc(-n6c7ccccc7c7cccc(C)c76)c6cnccc65)c(F)c4F)c4ccncc34)c12,3.0391,C46H28F4N6
c1ccc(-n2ccc3ccc(-c4nc5cc6nc(-c7ccc8ccn(-c9ccccc9)c8c7)sc6nc5s4)cc32)cc1,3.2312,C35H21N5S2
COc1ccc(N(C)Cc2nc(C)nc(SC)n2)cc1,2.8769,C14H18N4OS
Cc1c(-c2cc(-c3ccc(S(=O)(=O)c4ccccc4)cc3)cc(-c3ccc(S(=O)(=O)c4ccccc4)cc3)c2)cccc1-n1c2ccccc2c2cc(N(c3ccccc3)c3ccccc3)ccc21,2.6954,C61H44N2O4S2
CC1(C)c2cc(-n3c4ccccc4c4ccccc43)ccc2N(c2cccc(-c3cccc(-c4ccccc4C(F)(F)F)c3)c2)c2ccc(-n3c4ccccc4c4ccccc43)cc21,3.2724,C58H40F3N3
Cc1c(-c2cc(C#N)cc(C#N)c2)ccc(-c2cnc3ccccc3c2)c1C,3.8291,C25H17N3
N#Cc1cccc(C#N)c1-c1cc(-c2ccc(-n3ccc4ccccc43)cc2)cc(-c2c(C#N)cccc2C#N)c1,2.8801,C36H19N5
Cc1cc(-c2nc3ccccc3o2)cc(C)c1-c1c(C)cc(C)c(-n2cnc3cc4c(cc32)ncn4-c2c(C)cc(C)c(-c3c(C)cc(-c4nc5ccccc5o4)cc3C)c2C)c1C,3.6854,C56H48N6O2
c1ccc(N(c2ccccc2)c2cc(-c3nccs3)cc(-c3nccs3)c2)cc1,2.8992,C24H17N3S2
COc1ccc(-c2cncc3c(-c4cc5cc6oc(-c7cccc8c(-c9ccc(OC)cc9)cncc78)cc6cc5o4)cccc23)cc1,2.9965,C42H28N2O4
